Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Code,Store Type,Store Status,Opening Date,Closure, SQM , FM  , FS  
Western,Najran,Milagro,Starbucks,Starbucks,"Milagro Najran DT, Najran",RB2-H822-STA,H822,Drive-Thru,PTL,23-Sep-2024,,255,Hakeem ,Sultan 
Western,Sabia,Stand Alone,Starbucks,Starbucks,SABIA BOULVEARD DT,RB2-H843-STA,H843,Drive-Thru,PTL,17-Oct-2024,,355,Hakeem ,Sultan 
Western,Sakakah,Stand Alone,Starbucks,Starbucks,Sakakah saloom plaza DT-Sakakah,RB2-H731-STA,H731,Drive-Thru,LFL,26-Oct-2023,,346,Bassem ,Abdulrhman 
Western,Tabuk,Tabuk Park,Wellness,Bath and Body Works,Tabuk Park,RB2-H033-BAT,H033,Mall Location,LFL,28-Nov-2019,,96,Bassem ,Abdulrhman 
Western,Tabuk,Tabuk Park,Hennes and Mauritz,Hennes and Mauritz,Tabuk Park,RB2-H034-HEN,H034,Mall Location,LFL,19-Dec-2019,,1470,Bassem ,Abdulrhman 
Western,Tabuk,"Milagro Boutique,Tabuk",Apparel,Next,"Milagro Boutique, Tabuk",RB2-2523-NEX,2523,Plaza,LFL,16-Apr-2016,10-May-2026,340,Bassem ,Abdulrhman 
Western,Tabuk,"Milagro Boutique,Tabuk",Starbucks,Starbucks,"Milagro Boutique, Tabuk",RB2-2524-STA,2524,Plaza,LFL,11-Jun-2016,,253,Bassem ,Abdulrhman 
Western,Tabuk,Tabuk Park,Starbucks,Starbucks,Tabuk Park,RB2-H036-STA,H036,Mall Location,LFL,18-Nov-2019,,191,Bassem ,Abdulrhman 
Western,Tabuk,Stand Alone,Starbucks,Starbucks,"The Curve ,Tabuk",RB2-H231-STA,H231,Plaza,LFL,9-Dec-2020,,208,Bassem ,Abdulrhman 
Western,Tabuk,Stand Alone,Starbucks,Starbucks,Neom Tabuk,RB2-H601-STA,H601,Residential / Commercial Bldg,LFL,23-Dec-2022,,250,Bassem ,Abdulrhman 
Western,Tabuk,Stand Alone,Starbucks,Starbucks,Tabuk Boulevard DT,RB2-H606-STA,H606,Drive-Thru,LFL,8-Dec-2022,,200,Bassem ,Abdulrhman 
Western,Tabuk,Tabuk Park,Starbucks,Starbucks,"Tabuk Park 2, Tabuk",RB2-H656-STA,H656,Residential / Commercial Bldg,LFL,25-Dec-2022,,54,Bassem ,Abdulrhman 
Western,Tabuk,Stand Alone,Starbucks,Starbucks,AlRaqi Avenue Tabuk,RB2-H746-STA,H746,Shopping Mall / Center,LFL,27-Aug-2023,,205,Bassem ,Abdulrhman 
Western,Tabuk,"Tabuk,Airport",Starbucks,Starbucks,"Tabuk Airport, Tabuk",RB2-S669-STA,S669,"Others, Airport",LFL,24-Mar-2018,,35,Bassem ,Abdulrhman 
Western,Taif,The Park,Wellness,Bath and Body Works,The Park -Taif,RB2-H803-BAT,H803,Shopping Mall / Center,LFL,26-Dec-2023,,119,Hakeem ,Jamal 
